% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{llcllrrrllrrrllrrrllrrrll}
\multicolumn{25}{c}{\textbf{2009-2010 Award Year FFEL Volume by School}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \\
\multicolumn{25}{c}{Award Year Quarterly Activity  (07/01/2009-09/30/2009)}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          \\
\multicolumn{25}{c}{Data Run: 4/5/2012}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              \\
\multicolumn{1}{c}{}                                        & \multicolumn{1}{c}{}                                               &                & \multicolumn{1}{c}{}                                          & \multicolumn{1}{c}{}                                             & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     \\
00809300                                                    & HEALD COLLEGE                                                      & CA             & 937041706                                                     & PROPRIETARY                                                      & 547                                                             & 549                                                                         & \$1,681,276.00                                                              & 587                                                                      & \$655,357.00                                                             & 516                                                             & 886                                                                         & \$1,974,433.00                                                              & 939                                                                      & \$750,037.00                                                             & 21                                                              & 21                                                                          & \$79,098.00                                                                 & 22                                                                       & \$27,916.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00853200                                                    & HEALD COLLEGE                                                      & CA             & 945452352                                                     & PROPRIETARY                                                      & 563                                                             & 564                                                                         & \$1,879,454.00                                                              & 577                                                                      & \$712,600.00                                                             & 549                                                             & 934                                                                         & \$2,337,482.00                                                              & 953                                                                      & \$847,925.00                                                             & 29                                                              & 30                                                                          & \$152,147.00                                                                & 31                                                                       & \$54,200.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00853700                                                    & CONCORDE CAREER COLLEGE                                            & CA             & 924083403                                                     & PROPRIETARY                                                      & 208                                                             & 208                                                                         & \$740,478.00                                                                & 213                                                                      & \$336,332.00                                                             & 202                                                             & 202                                                                         & \$891,028.00                                                                & 204                                                                      & \$396,567.00                                                             & 34                                                              & 34                                                                          & \$251,731.00                                                                & 35                                                                       & \$101,040.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00859600                                                    & WEST LOS ANGELES COLLEGE                                           & CA             & 902303500                                                     & PUBLIC                                                           & 36                                                              & 36                                                                          & \$149,750.00                                                                & 36                                                                       & \$74,875.00                                                              & 20                                                              & 20                                                                          & \$78,750.00                                                                 & 20                                                                       & \$39,375.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00884600                                                    & WRIGHT INSTITUTE (THE)                                             & CA             & 947041796                                                     & PRIVATE                                                          & 285                                                             & 285                                                                         & \$2,331,226.00                                                              & 286                                                                      & \$780,715.00                                                             & 290                                                             & 290                                                                         & \$5,907,437.00                                                              & 296                                                                      & \$1,942,132.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & 55                                                              & 56                                                                          & \$877,230.00                                                                & 57                                                                       & \$287,585.00                                                             \\
00890300                                                    & COLLEGE OF THE CANYONS                                             & CA             & 913551899                                                     & PUBLIC                                                           & 591                                                             & 592                                                                         & \$2,045,938.00                                                              & 592                                                                      & \$1,138,101.00                                                           & 566                                                             & 570                                                                         & \$2,692,282.00                                                              & 570                                                                      & \$1,483,663.00                                                           & 6                                                               & 6                                                                           & \$52,874.00                                                                 & 6                                                                        & \$26,437.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00891800                                                    & SADDLEBACK COLLEGE                                                 & CA             & 926923699                                                     & PUBLIC                                                           & 90                                                              & 90                                                                          & \$316,260.00                                                                & 90                                                                       & \$159,005.00                                                             & 69                                                              & 71                                                                          & \$239,933.00                                                                & 71                                                                       & \$120,616.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00902200                                                    & ASSOCIATED TECHNICAL COLLEGE                                       & CA             & 900171690                                                     & PROPRIETARY                                                      & 63                                                              & 63                                                                          & \$220,500.00                                                                & 63                                                                       & \$110,250.00                                                             & 29                                                              & 29                                                                          & \$101,500.00                                                                & 29                                                                       & \$52,500.00                                                              & 12                                                              & 12                                                                          & \$42,000.00                                                                 & 12                                                                       & \$21,000.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00903200                                                    & EMPIRE COLLEGE                                                     & CA             & 954032122                                                     & PROPRIETARY                                                      & 79                                                              & 79                                                                          & \$270,542.00                                                                & 82                                                                       & \$108,855.00                                                             & 79                                                              & 79                                                                          & \$422,290.00                                                                & 84                                                                       & \$166,245.00                                                             & 1                                                               & 1                                                                           & \$6,300.00                                                                  & 1                                                                        & \$2,100.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00927200                                                    & CRAFTON HILLS COLLEGE                                              & CA             & 923991799                                                     & PUBLIC                                                           & 4                                                               & 4                                                                           & \$9,001.00                                                                  & 4                                                                        & \$4,501.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00950900                                                    & SACRAMENTO CITY UNIFIED SCHOOL DISTRICT                            & CA             & 958241529                                                     & PUBLIC                                                           & 11                                                              & 11                                                                          & \$38,287.00                                                                 & 11                                                                       & \$19,145.00                                                              & 14                                                              & 14                                                                          & \$88,878.00                                                                 & 14                                                                       & \$44,441.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00974800                                                    & CARRINGTON COLLEGE CALIFORNIA                                      & CA             & 958263203                                                     & PROPRIETARY                                                      & 1,095                                                           & 1,099                                                                       & \$2,380,835.00                                                              & 1,537                                                                    & \$1,399,838.00                                                           & 1,086                                                           & 1,094                                                                       & \$3,263,404.00                                                              & 1,520                                                                    & \$1,834,092.00                                                           & 97                                                              & 97                                                                          & \$654,910.00                                                                & 127                                                                      & \$339,137.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00998900                                                    & SANTA BARBARA BUSINESS COLLEGE                                     & CA             & 930038053                                                     & PROPRIETARY                                                      & 20                                                              & 20                                                                          & \$72,628.00                                                                 & 20                                                                       & \$25,766.00                                                              & 12                                                              & 12                                                                          & \$54,444.00                                                                 & 12                                                                       & \$17,749.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01011100                                                    & CERRO COSO COMMUNITY COLLEGE                                       & CA             & 935559571                                                     & PUBLIC                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & 4                                                               & 4                                                                           & \$59,922.00                                                                 & 4                                                                        & \$29,961.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01014900                                                    & PEPPERDINE UNIVERSITY                                              & CA             & 902634301                                                     & PRIVATE                                                          & 3,148                                                           & 3,184                                                                       & \$22,239,070.00                                                             & 3,185                                                                    & \$10,120,553.00                                                          & 3,323                                                           & 3,482                                                                       & \$31,264,961.00                                                             & 3,483                                                                    & \$14,022,869.00                                                          & 527                                                             & 546                                                                         & \$9,080,859.00                                                              & 547                                                                      & \$4,641,829.00                                                           & 1,069                                                           & 1,124                                                                       & \$26,285,234.00                                                             & 1,124                                                                    & \$11,841,177.00                                                          \\
01034000                                                    & LOS MEDANOS COLLEGE                                                & CA             & 945655197                                                     & PUBLIC                                                           & 7                                                               & 7                                                                           & \$25,162.00                                                                 & 7                                                                        & \$13,706.00                                                              & 1                                                               & 1                                                                           & \$6,000.00                                                                  & 1                                                                        & \$3,000.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01036500                                                    & CHARLES DREW UNIVERSITY OF MEDICINE AND SCIENCE                    & CA             & 900593025                                                     & PRIVATE                                                          & 137                                                             & 139                                                                         & \$688,760.00                                                                & 140                                                                      & \$246,582.00                                                             & 136                                                             & 138                                                                         & \$1,020,553.00                                                              & 139                                                                      & \$365,716.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & 2                                                               & 3                                                                           & \$50,000.00                                                                 & 3                                                                        & \$16,668.00                                                              \\
01036800                                                    & MENNONITE BRETHREN BIBLICAL SEMINARY                               & CA             & 937275097                                                     & PRIVATE                                                          & 35                                                              & 35                                                                          & \$290,544.00                                                                & 35                                                                       & \$142,085.00                                                             & 22                                                              & 22                                                                          & \$201,995.00                                                                & 22                                                                       & \$100,631.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01039500                                                    & UNIVERSITY OF SAN DIEGO                                            & CA             & 921102492                                                     & PRIVATE                                                          & 2,549                                                           & 2,604                                                                       & \$16,507,651.00                                                             & 2,623                                                                    & \$8,485,359.00                                                           & 2,569                                                           & 2,762                                                                       & \$19,931,415.00                                                             & 2,771                                                                    & \$10,129,550.00                                                          & 652                                                             & 666                                                                         & \$16,366,410.00                                                             & 670                                                                      & \$8,470,083.00                                                           & 835                                                             & 900                                                                         & \$19,656,280.00                                                             & 905                                                                      & \$9,694,503.00                                                           \\
01044100                                                    & PARDEE RAND GRADUATE SCHOOL                                        & CA             & 904072138                                                     & PRIVATE                                                          & 1                                                               & 1                                                                           & \$8,500.00                                                                  & 1                                                                        & \$2,834.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01047400                                                    & MARYMOUNT COLLEGE                                                  & CA             & 902746299                                                     & PRIVATE                                                          & 97                                                              & 97                                                                          & \$360,255.00                                                                & 97                                                                       & \$197,003.00                                                             & 93                                                              & 114                                                                         & \$354,995.00                                                                & 114                                                                      & \$190,998.00                                                             & 65                                                              & 65                                                                          & \$617,181.00                                                                & 65                                                                       & \$314,493.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01083200                                                    & WESTERN STATE UNIVERSITY COLLEGE OF LAW                            & CA             & 928313014                                                     & PROPRIETARY                                                      & 307                                                             & 307                                                                         & \$2,485,051.00                                                              & 307                                                                      & \$1,293,461.00                                                           & 299                                                             & 302                                                                         & \$3,515,116.00                                                              & 302                                                                      & \$1,832,552.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & 124                                                             & 131                                                                         & \$2,305,304.00                                                              & 131                                                                      & \$1,168,036.00                                                           \\
01085400                                                    & THOMAS JEFFERSON SCHOOL OF LAW                                     & CA             & 921012928                                                     & PRIVATE                                                          & 816                                                             & 818                                                                         & \$6,800,926.00                                                              & 819                                                                      & \$3,801,654.00                                                           & 806                                                             & 812                                                                         & \$9,315,208.00                                                              & 812                                                                      & \$5,145,172.00                                                           & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & 592                                                             & 712                                                                         & \$16,783,739.00                                                             & 727                                                                      & \$8,949,447.00                                                           \\
01102400                                                    & EVEREST COLLEGE                                                    & CA             & 941032091                                                     & PROPRIETARY                                                      & 375                                                             & 375                                                                         & \$1,277,495.00                                                              & 376                                                                      & \$648,362.00                                                             & 350                                                             & 616                                                                         & \$1,949,040.00                                                              & 618                                                                      & \$981,067.00                                                             & 14                                                              & 14                                                                          & \$90,471.00                                                                 & 14                                                                       & \$45,232.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01110700                                                    & EVEREST COLLEGE                                                    & CA             & 928015231                                                     & PROPRIETARY                                                      & 278                                                             & 278                                                                         & \$967,693.00                                                                & 278                                                                      & \$461,905.00                                                             & 262                                                             & 475                                                                         & \$1,360,383.00                                                              & 475                                                                      & \$651,971.00                                                             & 29                                                              & 29                                                                          & \$179,399.00                                                                & 29                                                                       & \$87,987.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01110900                                                    & EVEREST COLLEGE                                                    & CA             & 913354631                                                     & PROPRIETARY                                                      & 291                                                             & 291                                                                         & \$997,381.00                                                                & 291                                                                      & \$503,658.00                                                             & 273                                                             & 273                                                                         & \$1,469,262.00                                                              & 273                                                                      & \$737,514.00                                                             & 32                                                              & 32                                                                          & \$229,522.00                                                                & 32                                                                       & \$115,796.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
