\begin{table}[]
\begin{tabular}{lllllllllll}
            & raw clone size data used for Figure 5a,d, Extended Data Figure 11c,d from ovariectomized BRCA1,P53 confetti mouse model &             &       &             &       &             &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 3           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 4           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 3           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 4           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 4           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 3           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 3           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 3           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 3           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 3           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 3           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 3           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 3           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         & 3           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 4           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 6           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         & 4           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 3           &       &             &       & 5           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 3           &       &             &       &  \\
            &                                                                                                                         & 3           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 4           &       &             &       & 2           &       &             &       &  \\
            &                                                                                                                         & 3           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       &             &       & 4           &       &             &       &  \\
            &                                                                                                                         & 1           &       &             &       & 2           &       &             &       &  \\
