% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrr}
 & \textbf{Green areas - Local areas}                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Measure: Land area                                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Territorial level: TL2                                          & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Time period: 2021                                               & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Combined unit of measure: Square kilometres                     & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 &                                                                 & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & \cellcolor[HTML]{E2F2FB}\textbf{Reference area}                 & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} \\
 & \cellcolor[HTML]{E2F2FB}Australia                               & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  East of England                      & \cellcolor[HTML]{F1F1F1}                     & 7,801,163                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Greater London                       & \cellcolor[HTML]{F1F1F1}                     & 828,616                                      \\
 & \cellcolor[HTML]{E2F2FB}·  South East England                   & \cellcolor[HTML]{F1F1F1}                     & 12,903,610                                   \\
 & \cellcolor[HTML]{E2F2FB}·  South West England                   & \cellcolor[HTML]{F1F1F1}                     & 18,222,988                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Wales                                & \cellcolor[HTML]{F1F1F1}                     & 19,286,728                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Scotland                             & \cellcolor[HTML]{F1F1F1}                     & 70,022,743                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northern Ireland                     & \cellcolor[HTML]{F1F1F1}                     & 12,657,656                                   \\
 & \cellcolor[HTML]{E2F2FB}United States                           & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Alabama                              & \cellcolor[HTML]{F1F1F1}                     & 123,543,084                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Alaska                               & \cellcolor[HTML]{F1F1F1}                     & 1,088,968,834                                \\
 & \cellcolor[HTML]{E2F2FB}·  Arizona                              & \cellcolor[HTML]{F1F1F1}                     & 213,303,911                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Arkansas                             & \cellcolor[HTML]{F1F1F1}                     & 107,932,790                                  \\
 & \cellcolor[HTML]{E2F2FB}·  California                           & \cellcolor[HTML]{F1F1F1}                     & 281,559,806                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Colorado                             & \cellcolor[HTML]{F1F1F1}                     & 221,961,448                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Connecticut                          & \cellcolor[HTML]{F1F1F1}                     & 11,606,317                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Delaware                             & \cellcolor[HTML]{F1F1F1}                     & 2,962,119                                    \\
 & \cellcolor[HTML]{E2F2FB}·  District of Columbia                 & \cellcolor[HTML]{F1F1F1}                     & 80,648                                       \\
 & \cellcolor[HTML]{E2F2FB}·  Florida                              & \cellcolor[HTML]{F1F1F1}                     & 111,155,369                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Georgia                              & \cellcolor[HTML]{F1F1F1}                     & 132,669,059                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Hawaii                               & \cellcolor[HTML]{F1F1F1}                     & 13,319,452                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Idaho                                & \cellcolor[HTML]{F1F1F1}                     & 183,470,551                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Illinois                             & \cellcolor[HTML]{F1F1F1}                     & 47,464,013                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Indiana                              & \cellcolor[HTML]{F1F1F1}                     & 41,833,595                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Iowa                                 & \cellcolor[HTML]{F1F1F1}                     & 40,636,349                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Kansas                               & \cellcolor[HTML]{F1F1F1}                     & 111,445,236                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Kentucky                             & \cellcolor[HTML]{F1F1F1}                     & 86,115,579                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Louisiana                            & \cellcolor[HTML]{F1F1F1}                     & 83,309,028                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Maine                                & \cellcolor[HTML]{F1F1F1}                     & 77,923,060                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Maryland                             & \cellcolor[HTML]{F1F1F1}                     & 18,988,879                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Massachusetts                        & \cellcolor[HTML]{F1F1F1}                     & 18,392,414                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Michigan                             & \cellcolor[HTML]{F1F1F1}                     & 115,486,545                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Minnesota                            & \cellcolor[HTML]{F1F1F1}                     & 118,595,949                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Mississippi                          & \cellcolor[HTML]{F1F1F1}                     & 104,658,924                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Missouri                             & \cellcolor[HTML]{F1F1F1}                     & 129,874,122                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Montana                              & \cellcolor[HTML]{F1F1F1}                     & 313,203,995                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Nebraska                             & \cellcolor[HTML]{F1F1F1}                     & 118,612,010                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Nevada                               & \cellcolor[HTML]{F1F1F1}                     & 203,619,359                                  \\
 & \cellcolor[HTML]{E2F2FB}·  New Hampshire                        & \cellcolor[HTML]{F1F1F1}                     & 22,527,826                                   \\
 & \cellcolor[HTML]{E2F2FB}·  New Jersey                           & \cellcolor[HTML]{F1F1F1}                     & 15,150,981                                   \\
 & \cellcolor[HTML]{E2F2FB}·  New Mexico                           & \cellcolor[HTML]{F1F1F1}                     & 274,529,777                                  \\
 & \cellcolor[HTML]{E2F2FB}·  New York                             & \cellcolor[HTML]{F1F1F1}                     & 107,304,172                                  \\
 & \cellcolor[HTML]{E2F2FB}·  North Carolina                       & \cellcolor[HTML]{F1F1F1}                     & 107,215,582                                  \\
 & \cellcolor[HTML]{E2F2FB}·  North Dakota                         & \cellcolor[HTML]{F1F1F1}                     & 80,356,296                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Ohio                                 & \cellcolor[HTML]{F1F1F1}                     & 64,163,902                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Oklahoma                             & \cellcolor[HTML]{F1F1F1}                     & 143,216,226                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Oregon                               & \cellcolor[HTML]{F1F1F1}                     & 231,794,463                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Pennsylvania                         & \cellcolor[HTML]{F1F1F1}                     & 102,342,765                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Rhode Island                         & \cellcolor[HTML]{F1F1F1}                     & 2,390,468                                    \\
 & \cellcolor[HTML]{E2F2FB}·  South Carolina                       & \cellcolor[HTML]{F1F1F1}                     & 69,380,006                                   \\
 & \cellcolor[HTML]{E2F2FB}·  South Dakota                         & \cellcolor[HTML]{F1F1F1}                     & 126,804,554                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Tennessee                            & \cellcolor[HTML]{F1F1F1}                     & 93,435,440                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Texas                                & \cellcolor[HTML]{F1F1F1}                     & 555,353,549                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Utah                                 & \cellcolor[HTML]{F1F1F1}                     & 146,388,287                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Vermont                              & \cellcolor[HTML]{F1F1F1}                     & 22,490,599                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Virginia                             & \cellcolor[HTML]{F1F1F1}                     & 93,963,494                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Washington                           & \cellcolor[HTML]{F1F1F1}                     & 142,009,577                                  \\
 & \cellcolor[HTML]{E2F2FB}·  West Virginia                        & \cellcolor[HTML]{F1F1F1}                     & 61,202,453                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Wisconsin                            & \cellcolor[HTML]{F1F1F1}                     & 101,169,074                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Wyoming                              & \cellcolor[HTML]{F1F1F1}                     & 220,207,371                                  \\
 & \cellcolor[HTML]{E2F2FB}Non-OECD economies                      & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Bulgaria                             & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  ·  North West                        & \cellcolor[HTML]{F1F1F1}                     & 10,060,683                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  North Central                     & \cellcolor[HTML]{F1F1F1}                     & 7,523,647                                    \\
 & \cellcolor[HTML]{E2F2FB}·  ·  North East                        & \cellcolor[HTML]{F1F1F1}                     & 6,547,133                                    \\
 & \cellcolor[HTML]{E2F2FB}·  ·  South East                        & \cellcolor[HTML]{F1F1F1}                     & 12,003,039                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  South West                        & \cellcolor[HTML]{F1F1F1}                     & 17,634,636                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  South Central                     & \cellcolor[HTML]{F1F1F1}                     & 17,015,836                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Croatia                              & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  ·  Pannonian Croatia                 & \cellcolor[HTML]{F1F1F1}                     & 15,673,210                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  Adriatic Croatia                  & \cellcolor[HTML]{F1F1F1}                     & 23,167,062                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  City of Zagreb                    & \cellcolor[HTML]{F1F1F1}                     & 466,952                                      \\
 & \cellcolor[HTML]{E2F2FB}·  ·  Northern Croatia                  & \cellcolor[HTML]{F1F1F1}                     & 5,749,501                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Romania                              & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  ·  North West                        & \cellcolor[HTML]{F1F1F1}                     & 26,515,682                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  Center                            & \cellcolor[HTML]{F1F1F1}                     & 27,436,116                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  North East                        & \cellcolor[HTML]{F1F1F1}                     & 23,292,342                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  South East                        & \cellcolor[HTML]{F1F1F1}                     & 12,486,032                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  South - Muntenia                  & \cellcolor[HTML]{F1F1F1}                     & 14,166,341                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  Bucharest - Ilfov                 & \cellcolor[HTML]{F1F1F1}                     & 649,477                                      \\
 & \cellcolor[HTML]{E2F2FB}·  ·  South West Oltenia                & \cellcolor[HTML]{F1F1F1}                     & 17,291,625                                   \\
 & \cellcolor[HTML]{E2F2FB}·  ·  West                              & \cellcolor[HTML]{F1F1F1}                     & 22,301,686                                  
\end{tabular}
\end{table}
