"Per capita sales of food for all purchasers with taxes and tips, by State","","","","","","",""
"(U.S. Dollars)","","","","","","",""
"Year","State","Nominal sales per capita","","Total nominal food sales per capita","Constant-dollar sales per capita (1988=100)","","Total constant-dollar food sales per capita"
"2021","Michigan","2,556.70","2,307.22","4,863.92","1,216.30","903.63","2,119.93"
"2022","Michigan","2,823.67","2,659.14","5,482.81","1,190.28","957.81","2,148.09"
"2023","Michigan","2,916.65","2,948.15","5,864.80","1,168.52","994.19","2,162.71"
"1997","Minnesota","1,345.73","1,010.66","2,356.39","1,006.46","770.74","1,777.20"
"1998","Minnesota","1,367.93","1,057.76","2,425.68","1,004.78","786.31","1,791.09"
"1999","Minnesota","1,441.31","1,099.32","2,540.63","1,036.84","797.11","1,833.95"
"2000","Minnesota","1,466.11","1,151.09","2,617.20","1,030.85","811.68","1,842.53"
"2001","Minnesota","1,545.40","1,192.88","2,738.28","1,053.76","817.68","1,871.44"
"2002","Minnesota","1,560.10","1,244.14","2,804.24","1,055.66","834.85","1,890.51"
"2003","Minnesota","1,583.53","1,299.43","2,882.96","1,056.61","854.92","1,911.53"
"2004","Minnesota","1,617.16","1,384.14","3,001.30","1,048.65","884.50","1,933.15"
"2005","Minnesota","1,681.11","1,462.74","3,143.84","1,067.27","903.86","1,971.13"
"2006","Minnesota","1,701.88","1,513.06","3,214.94","1,063.44","910.15","1,973.60"
"2007","Minnesota","1,724.36","1,565.74","3,290.10","1,036.32","910.49","1,946.82"
"2008","Minnesota","1,777.44","1,577.05","3,354.49","1,003.96","875.57","1,879.52"
"2009","Minnesota","1,757.20","1,541.69","3,298.88","983.20","825.13","1,808.33"
"2010","Minnesota","1,792.74","1,564.92","3,357.66","998.63","828.46","1,827.09"
"2011","Minnesota","1,901.25","1,651.24","3,552.49","1,011.51","852.67","1,864.18"
"2012","Minnesota","2,067.84","1,734.12","3,801.97","1,072.06","870.16","1,942.22"
"2013","Minnesota","2,117.80","1,804.89","3,922.69","1,091.92","884.33","1,976.25"
"2014","Minnesota","2,101.72","1,910.33","4,012.06","1,057.37","910.82","1,968.20"
"2015","Minnesota","2,053.34","2,051.96","4,105.29","1,027.36","949.34","1,976.69"
"2016","Minnesota","2,066.75","2,154.25","4,221.00","1,048.00","971.80","2,019.81"
"2017","Minnesota","2,106.50","2,269.11","4,375.61","1,071.98","1,006.80","2,078.78"
"2018","Minnesota","2,188.53","2,346.42","4,534.95","1,113.40","1,016.79","2,130.19"
"2019","Minnesota","2,227.97","2,427.18","4,655.16","1,127.91","1,024.42","2,152.33"
"2020","Minnesota","2,298.50","1,985.09","4,283.59","1,130.97","817.02","1,947.99"
"2021","Minnesota","2,480.07","2,621.22","5,101.30","1,179.85","1,026.61","2,206.46"
"2022","Minnesota","2,659.26","3,032.31","5,691.58","1,120.98","1,092.23","2,213.20"
"2023","Minnesota","2,672.81","3,304.79","5,977.59","1,070.82","1,114.46","2,185.28"
"1997","Mississippi","1,091.22","751.80","1,843.02","811.56","577.29","1,388.86"
"1998","Mississippi","1,125.60","826.28","1,951.88","824.92","618.19","1,443.11"
"1999","Mississippi","1,208.07","907.75","2,115.81","871.53","662.94","1,534.47"
"2000","Mississippi","1,211.83","964.91","2,176.74","851.38","689.06","1,540.44"
"2001","Mississippi","1,307.46","987.71","2,295.17","893.03","686.91","1,579.94"
"2002","Mississippi","1,335.11","1,063.90","2,399.01","900.21","723.45","1,623.66"
"2003","Mississippi","1,372.79","1,116.80","2,489.60","906.04","741.71","1,647.75"
"2004","Mississippi","1,456.19","1,178.27","2,634.46","924.63","759.05","1,683.68"
"2005","Mississippi","1,541.23","1,203.99","2,745.22","959.11","753.81","1,712.92"
"2006","Mississippi","1,636.20","1,255.86","2,892.06","998.84","762.86","1,761.71"
"2007","Mississippi","1,709.46","1,304.76","3,014.22","1,001.56","766.39","1,767.95"
"2008","Mississippi","1,788.88","1,347.63","3,136.51","982.06","756.74","1,738.80"
"2009","Mississippi","1,753.02","1,324.80","3,077.81","955.10","717.86","1,672.96"
"2010","Mississippi","1,830.56","1,361.67","3,192.23","991.51","728.55","1,720.06"
"2011","Mississippi","1,922.00","1,446.31","3,368.30","990.34","757.00","1,747.34"
"2012","Mississippi","2,083.19","1,530.60","3,613.79","1,045.16","779.66","1,824.83"
"2013","Mississippi","2,099.83","1,591.80","3,691.63","1,041.14","792.64","1,833.78"
"2014","Mississippi","2,154.28","1,686.69","3,840.97","1,042.72","820.57","1,863.30"
"2015","Mississippi","2,137.14","1,824.52","3,961.65","1,023.86","861.33","1,885.19"
"2016","Mississippi","2,168.34","1,928.03","4,096.37","1,053.78","892.37","1,946.15"
"2017","Mississippi","2,351.79","2,036.00","4,387.80","1,145.48","923.74","2,069.22"
"2018","Mississippi","2,411.01","2,110.37","4,521.39","1,170.82","937.70","2,108.52"
"2019","Mississippi","2,451.91","2,210.20","4,662.11","1,182.54","952.76","2,135.30"
"2020","Mississippi","2,579.95","2,095.91","4,675.86","1,202.00","879.48","2,081.48"
"2021","Mississippi","2,781.78","2,567.63","5,349.41","1,253.00","1,037.31","2,290.30"
"2022","Mississippi","2,772.28","2,750.34","5,522.61","1,121.14","1,031.00","2,152.14"
"2023","Mississippi","2,781.19","2,930.05","5,711.25","1,067.69","1,025.43","2,093.12"
"1997","Missouri","1,371.88","1,076.83","2,448.72","1,026.02","821.21","1,847.22"
"1998","Missouri","1,343.41","1,121.75","2,465.16","986.77","833.88","1,820.65"
"1999","Missouri","1,394.67","1,161.42","2,556.10","1,003.29","842.14","1,845.43"
"2000","Missouri","1,419.95","1,207.76","2,627.71","998.39","851.64","1,850.03"
"2001","Missouri","1,444.71","1,239.67","2,684.39","985.11","849.75","1,834.86"
"2002","Missouri","1,477.85","1,287.36","2,765.21","1,000.00","863.86","1,863.86"
"2003","Missouri","1,568.82","1,337.64","2,906.46","1,046.79","880.07","1,926.85"
"2004","Missouri","1,637.36","1,412.20","3,049.56","1,061.75","902.43","1,964.18"
"2005","Missouri","1,736.27","1,468.28","3,204.55","1,102.29","907.29","2,009.58"
"2006","Missouri","1,807.81","1,540.95","3,348.76","1,129.64","926.93","2,056.56"
"2007","Missouri","1,869.40","1,588.28","3,457.68","1,123.49","923.60","2,047.09"
"2008","Missouri","1,926.28","1,613.08","3,539.36","1,088.02","895.57","1,983.59"
"2009","Missouri","1,879.97","1,584.83","3,464.79","1,051.89","848.22","1,900.11"
"2010","Missouri","1,964.10","1,612.22","3,576.32","1,094.08","853.50","1,947.58"
"2011","Missouri","2,021.71","1,674.87","3,696.58","1,075.60","864.87","1,940.47"
"2012","Missouri","2,143.13","1,747.22","3,890.36","1,111.09","876.74","1,987.83"
"2013","Missouri","2,187.47","1,822.23","4,009.70","1,127.84","892.83","2,020.67"
"2014","Missouri","2,229.52","1,940.24","4,169.75","1,121.67","925.08","2,046.75"
"2015","Missouri","2,232.54","2,098.77","4,331.32","1,117.02","971.00","2,088.02"
"2016","Missouri","2,267.53","2,212.60","4,480.13","1,149.81","998.13","2,147.94"
"2017","Missouri","2,403.74","2,325.49","4,729.24","1,223.25","1,031.81","2,255.06"
"2018","Missouri","2,448.00","2,409.80","4,857.80","1,245.41","1,044.25","2,289.66"
"2019","Missouri","2,453.29","2,494.48","4,947.77","1,241.98","1,052.82","2,294.80"
"2020","Missouri","2,521.15","2,241.99","4,763.14","1,240.52","922.75","2,163.28"
"2021","Missouri","2,697.95","2,779.39","5,477.34","1,283.50","1,088.56","2,372.06"
"2022","Missouri","2,786.23","3,058.69","5,844.92","1,174.49","1,101.73","2,276.23"
"2023","Missouri","2,810.96","3,278.20","6,089.16","1,126.17","1,105.49","2,231.66"
"1997","Montana","1,557.04","974.32","2,531.36","1,113.27","760.41","1,873.68"
"1998","Montana","1,579.11","1,001.37","2,580.48","1,095.40","761.19","1,856.59"
"1999","Montana","1,668.42","1,024.28","2,692.70","1,134.37","762.17","1,896.54"
"2000","Montana","1,658.36","1,070.54","2,728.91","1,104.94","779.17","1,884.11"
"2001","Montana","1,669.17","1,094.37","2,763.54","1,067.53","772.12","1,839.65"
"2002","Montana","1,671.64","1,148.81","2,820.45","1,049.51","784.65","1,834.16"
"2003","Montana","1,785.12","1,215.06","3,000.18","1,091.32","814.12","1,905.44"
"2004","Montana","1,908.95","1,309.97","3,218.93","1,125.08","851.52","1,976.59"
"2005","Montana","2,052.06","1,393.74","3,445.80","1,198.49","874.64","2,073.14"
"2006","Montana","2,159.57","1,458.63","3,618.20","1,246.27","889.28","2,135.56"
"2007","Montana","2,318.83","1,520.21","3,839.04","1,278.01","894.76","2,172.77"
"2008","Montana","2,367.12","1,568.37","3,935.49","1,228.82","889.27","2,118.09"
"2009","Montana","2,255.56","1,514.67","3,770.23","1,179.49","832.87","2,012.36"
"2010","Montana","2,249.20","1,526.12","3,775.32","1,183.26","829.44","2,012.70"
"2011","Montana","2,297.53","1,602.11","3,899.64","1,152.38","851.62","2,004.00"
"2012","Montana","2,406.82","1,704.50","4,111.32","1,185.80","879.15","2,064.96"
"2013","Montana","2,432.49","1,809.21","4,241.70","1,187.81","913.91","2,101.73"
"2014","Montana","2,545.60","1,917.86","4,463.46","1,209.29","945.43","2,154.72"
"2015","Montana","2,587.86","2,102.70","4,690.56","1,209.10","1,007.59","2,216.68"
"2016","Montana","2,645.29","2,221.38","4,866.67","1,250.28","1,030.64","2,280.92"
"2017","Montana","2,764.45","2,339.95","5,104.40","1,310.66","1,051.19","2,361.85"
"2018","Montana","2,939.90","2,467.66","5,407.56","1,387.77","1,072.04","2,459.81"
"2019","Montana","3,039.03","2,585.49","5,624.52","1,413.03","1,084.66","2,497.70"
"2020","Montana","3,194.53","2,449.74","5,644.27","1,428.38","982.70","2,411.08"
"2021","Montana","3,456.27","3,112.84","6,569.11","1,480.82","1,190.65","2,671.47"
"2022","Montana","3,648.47","3,411.51","7,059.98","1,403.15","1,216.28","2,619.43"
"2023","Montana","3,674.42","3,628.47","7,302.89","1,350.63","1,203.93","2,554.55"
"1997","Nebraska","1,455.66","896.72","2,352.38","1,088.67","683.85","1,772.52"
"1998","Nebraska","1,502.13","935.91","2,438.04","1,103.35","695.74","1,799.09"
"1999","Nebraska","1,571.21","997.64","2,568.85","1,130.29","723.38","1,853.67"
"2000","Nebraska","1,600.67","1,051.96","2,652.63","1,125.46","741.78","1,867.24"
"2001","Nebraska","1,615.94","1,069.41","2,685.35","1,101.86","733.04","1,834.91"
"2002","Nebraska","1,563.48","1,111.06","2,674.53","1,057.94","745.55","1,803.49"
"2003","Nebraska","1,619.85","1,173.32","2,793.17","1,080.84","771.96","1,852.79"
"2004","Nebraska","1,705.05","1,235.39","2,940.44","1,105.64","789.44","1,895.08"
"2005","Nebraska","1,811.06","1,294.77","3,105.82","1,149.77","800.07","1,949.83"
"2006","Nebraska","1,846.62","1,350.09","3,196.71","1,153.89","812.12","1,966.01"
"2007","Nebraska","1,974.07","1,402.44","3,376.51","1,186.40","815.53","2,001.93"
"2008","Nebraska","2,054.99","1,429.65","3,484.64","1,160.72","793.73","1,954.46"
"2009","Nebraska","1,994.26","1,416.69","3,410.95","1,115.84","758.23","1,874.07"
"2010","Nebraska","2,019.56","1,444.13","3,463.69","1,124.98","764.51","1,889.49"
"2011","Nebraska","2,073.99","1,514.02","3,588.01","1,103.42","781.81","1,885.23"
"2012","Nebraska","2,191.06","1,591.26","3,782.31","1,135.94","798.47","1,934.41"
"2013","Nebraska","2,237.91","1,672.04","3,909.95","1,153.85","819.24","1,973.08"
"2014","Nebraska","2,380.94","1,778.45","4,159.40","1,197.85","847.94","2,045.79"
"2015","Nebraska","2,426.67","1,911.11","4,337.78","1,214.15","884.18","2,098.32"
"2016","Nebraska","2,477.51","2,030.27","4,507.78","1,256.29","915.88","2,172.17"
"2017","Nebraska","2,608.05","2,157.51","4,765.57","1,327.22","957.28","2,284.50"
"2018","Nebraska","2,629.48","2,231.38","4,860.86","1,337.74","966.94","2,304.68"
"2019","Nebraska","2,662.66","2,313.79","4,976.45","1,347.97","976.56","2,324.53"
"2020","Nebraska","2,755.10","2,131.57","4,886.66","1,355.64","877.30","2,232.94"
"2021","Nebraska","2,998.64","2,728.51","5,727.15","1,426.55","1,068.63","2,495.18"
"2022","Nebraska","3,086.34","3,035.50","6,121.84","1,301.00","1,093.38","2,394.38"
"2023","Nebraska","3,078.07","3,228.56","6,306.63","1,233.19","1,088.75","2,321.94"
"1997","Nevada","1,680.54","2,419.66","4,100.21","1,201.57","1,888.44","3,090.01"
"1998","Nevada","1,648.35","2,459.28","4,107.63","1,143.43","1,869.42","3,012.86"
"1999","Nevada","1,650.20","2,709.72","4,359.92","1,121.98","2,016.30","3,138.29"
"2000","Nevada","1,533.43","2,719.58","4,253.01","1,021.70","1,979.38","3,001.08"
"2001","Nevada","1,550.65","2,636.80","4,187.45","991.73","1,860.36","2,852.09"
"2002","Nevada","1,548.53","2,603.53","4,152.07","972.22","1,778.24","2,750.46"
"2003","Nevada","1,610.66","2,642.36","4,253.02","984.67","1,770.44","2,755.11"
"2004","Nevada","1,712.64","2,774.08","4,486.72","1,009.37","1,803.23","2,812.60"
"2005","Nevada","1,828.73","2,883.80","4,712.54","1,068.06","1,809.74","2,877.80"
"2006","Nevada","1,994.35","2,997.27","4,991.62","1,150.93","1,827.35","2,978.27"
"2007","Nevada","2,097.04","3,022.76","5,119.79","1,155.77","1,779.11","2,934.88"
"2008","Nevada","2,160.76","3,057.98","5,218.73","1,121.69","1,733.88","2,855.57"
"2009","Nevada","2,045.76","2,842.74","4,888.49","1,069.78","1,563.14","2,632.92"
"2010","Nevada","2,051.84","2,957.59","5,009.43","1,079.44","1,607.44","2,686.88"
"2011","Nevada","2,092.98","3,156.52","5,249.50","1,049.78","1,677.89","2,727.67"
"2012","Nevada","2,217.45","3,291.89","5,509.35","1,092.50","1,697.90","2,790.41"
"2013","Nevada","2,255.27","3,473.75","5,729.02","1,101.28","1,754.74","2,856.02"
"2014","Nevada","2,370.13","3,738.29","6,108.43","1,125.93","1,842.84","2,968.77"
"2015","Nevada","2,446.08","4,001.47","6,447.56","1,142.86","1,917.46","3,060.32"
"2016","Nevada","2,442.15","4,163.44","6,605.59","1,154.27","1,931.68","3,085.94"
"2017","Nevada","2,533.05","4,320.11","6,853.16","1,200.95","1,940.75","3,141.70"
"2018","Nevada","2,637.18","4,481.88","7,119.06","1,244.88","1,947.09","3,191.97"
"2019","Nevada","2,744.80","4,655.18","7,399.98","1,276.23","1,952.94","3,229.17"
"2020","Nevada","3,042.92","3,786.20","6,829.12","1,360.59","1,518.81","2,879.40"
"2021","Nevada","3,262.62","5,167.88","8,430.50","1,397.85","1,976.69","3,374.54"
"2022","Nevada","3,810.40","6,106.56","9,916.96","1,465.43","2,177.13","3,642.55"
"2023","Nevada","3,902.31","6,907.43","10,809.74","1,434.39","2,291.88","3,726.28"
"1997","New Hampshire","2,042.39","1,231.02","3,273.41","1,507.72","974.94","2,482.66"
"1998","New Hampshire","2,045.13","1,285.11","3,330.24","1,487.60","992.90","2,480.49"
"1999","New Hampshire","2,189.11","1,358.60","3,547.71","1,558.97","1,020.36","2,579.33"
"2000","New Hampshire","2,218.09","1,427.29","3,645.37","1,554.49","1,049.50","2,603.99"
"2001","New Hampshire","2,277.32","1,468.91","3,746.23","1,546.81","1,048.98","2,595.79"
"2002","New Hampshire","2,316.39","1,545.27","3,861.66","1,556.47","1,076.75","2,633.22"
"2003","New Hampshire","2,305.37","1,585.95","3,891.32","1,514.85","1,082.42","2,597.27"
"2004","New Hampshire","2,436.87","1,676.53","4,113.40","1,533.51","1,114.16","2,647.67"
"2005","New Hampshire","2,554.29","1,733.65","4,287.94","1,566.00","1,120.32","2,686.31"
"2006","New Hampshire","2,646.01","1,791.53","4,437.53","1,586.27","1,117.16","2,703.43"
"2007","New Hampshire","2,743.06","1,826.79","4,569.85","1,582.67","1,093.03","2,675.70"
"2008","New Hampshire","2,873.29","1,844.52","4,717.81","1,561.08","1,056.20","2,617.28"
"2009","New Hampshire","2,852.85","1,806.31","4,659.16","1,534.82","1,000.25","2,535.07"
"2010","New Hampshire","2,836.41","1,851.02","4,687.43","1,511.68","1,009.28","2,520.96"
"2011","New Hampshire","2,989.26","1,941.03","4,930.29","1,527.42","1,033.00","2,560.43"
"2012","New Hampshire","3,172.64","2,042.34","5,214.98","1,577.87","1,058.52","2,636.40"
"2013","New Hampshire","3,151.01","2,198.16","5,349.17","1,554.15","1,120.40","2,674.55"
"2014","New Hampshire","3,135.40","2,371.18","5,506.58","1,520.49","1,182.54","2,703.03"
"2015","New Hampshire","3,234.14","2,589.03","5,823.17","1,547.02","1,261.85","2,808.87"
"2016","New Hampshire","3,322.79","2,759.52","6,082.30","1,610.97","1,310.06","2,921.04"
"2017","New Hampshire","3,388.54","2,960.31","6,348.85","1,640.31","1,373.07","3,013.38"
"2018","New Hampshire","3,499.37","3,106.54","6,605.92","1,673.33","1,402.17","3,075.50"
"2019","New Hampshire","3,620.29","3,251.52","6,871.81","1,717.40","1,426.70","3,144.10"
"2020","New Hampshire","3,848.13","2,847.00","6,695.13","1,765.00","1,205.60","2,970.60"
"2021","New Hampshire","3,964.31","3,615.15","7,579.46","1,776.57","1,461.29","3,237.86"
"2022","New Hampshire","4,021.04","4,025.88","8,046.92","1,636.36","1,522.46","3,158.83"
"2023","New Hampshire","3,806.91","4,245.00","8,051.91","1,478.53","1,502.17","2,980.70"
"1997","New Jersey","1,266.05","999.82","2,265.87","934.62","791.84","1,726.45"
"1998","New Jersey","1,311.94","1,065.05","2,376.98","954.28","822.87","1,777.16"
"1999","New Jersey","1,421.18","1,111.17","2,532.35","1,012.09","834.53","1,846.63"
"2000","New Jersey","1,449.23","1,130.39","2,579.62","1,015.66","831.18","1,846.84"
"2001","New Jersey","1,584.67","1,152.50","2,737.17","1,076.35","823.03","1,899.38"
"2002","New Jersey","1,666.60","1,211.52","2,878.12","1,119.85","844.19","1,964.04"
"2003","New Jersey","1,787.04","1,310.32","3,097.36","1,174.26","894.30","2,068.56"
"2004","New Jersey","1,859.85","1,381.12","3,240.96","1,170.40","917.84","2,088.23"
"2005","New Jersey","1,926.59","1,455.60","3,382.19","1,181.16","940.64","2,121.80"
"2006","New Jersey","1,954.48","1,562.09","3,516.57","1,171.70","974.09","2,145.79"
"2007","New Jersey","2,072.28","1,695.51","3,767.80","1,195.65","1,014.49","2,210.14"
"2008","New Jersey","2,066.08","1,667.95","3,734.03","1,122.52","955.10","2,077.61"
"2009","New Jersey","2,005.72","1,635.84","3,641.56","1,079.07","905.85","1,984.92"
"2010","New Jersey","2,030.05","1,659.59","3,689.64","1,081.92","904.90","1,986.82"
"2011","New Jersey","2,084.54","1,717.00","3,801.54","1,065.14","913.77","1,978.92"
"2012","New Jersey","2,147.34","1,796.88","3,944.23","1,067.95","931.30","1,999.26"
"2013","New Jersey","2,152.19","1,890.17","4,042.36","1,061.51","963.42","2,024.92"
"2014","New Jersey","2,209.60","2,024.03","4,233.64","1,071.53","1,009.42","2,080.95"
"2015","New Jersey","2,190.27","2,172.95","4,363.22","1,047.70","1,059.05","2,106.75"
"2016","New Jersey","2,123.67","2,316.16","4,439.83","1,029.61","1,099.58","2,129.19"
"2017","New Jersey","2,142.52","2,481.90","4,624.42","1,037.14","1,151.17","2,188.32"
"2018","New Jersey","2,231.97","2,625.39","4,857.37","1,067.29","1,185.00","2,252.29"
"2019","New Jersey","2,300.23","2,752.78","5,053.01","1,091.19","1,207.86","2,299.05"
"2020","New Jersey","2,318.94","2,183.83","4,502.77","1,063.62","924.78","1,988.39"
"2021","New Jersey","2,436.82","2,865.78","5,302.60","1,092.04","1,158.38","2,250.42"
"2022","New Jersey","2,784.14","3,432.28","6,216.42","1,133.01","1,297.98","2,430.99"
"2023","New Jersey","2,825.54","3,820.97","6,646.51","1,097.38","1,352.12","2,449.50"
"1997","New Mexico","1,457.68","1,021.95","2,479.63","1,042.22","797.59","1,839.81"
"1998","New Mexico","1,420.06","1,056.03","2,476.09","985.07","802.74","1,787.81"
"1999","New Mexico","1,395.01","1,104.47","2,499.48","948.47","821.84","1,770.31"
"2000","New Mexico","1,403.78","1,143.57","2,547.36","935.32","832.32","1,767.64"
"2001","New Mexico","1,438.02","1,191.74","2,629.76","919.70","840.81","1,760.52"
"2002","New Mexico","1,449.58","1,245.03","2,694.61","910.09","850.37","1,760.46"
"2003","New Mexico","1,524.13","1,308.52","2,832.65","931.77","876.74","1,808.51"
"2004","New Mexico","1,605.57","1,370.24","2,975.81","946.27","890.69","1,836.97"
"2005","New Mexico","1,650.63","1,423.33","3,073.96","964.04","893.22","1,857.26"
"2006","New Mexico","1,735.76","1,535.75","3,271.51","1,001.70","936.30","1,938.00"
"2007","New Mexico","1,822.38","1,591.71","3,414.10","1,004.40","936.84","1,941.24"
"2008","New Mexico","1,963.71","1,587.62","3,551.33","1,019.40","900.19","1,919.59"
"2009","New Mexico","1,936.65","1,539.86","3,476.51","1,012.72","846.72","1,859.45"
"2010","New Mexico","1,923.12","1,543.96","3,467.09","1,011.72","839.14","1,850.86"
"2011","New Mexico","2,003.87","1,608.44","3,612.30","1,005.08","854.99","1,860.07"
"2012","New Mexico","2,173.89","1,676.73","3,850.63","1,071.04","864.83","1,935.87"
"2013","New Mexico","2,158.26","1,787.03","3,945.29","1,053.91","902.71","1,956.61"
"2014","New Mexico","2,204.23","1,946.72","4,150.95","1,047.12","959.66","2,006.78"
"2015","New Mexico","2,251.01","2,135.00","4,386.01","1,051.72","1,023.07","2,074.78"
"2016","New Mexico","2,268.06","2,278.77","4,546.83","1,071.99","1,057.26","2,129.25"
"2017","New Mexico","2,329.94","2,415.06","4,745.00","1,104.65","1,084.93","2,189.58"
"2018","New Mexico","2,453.56","2,576.46","5,030.02","1,158.20","1,119.30","2,277.50"
"2019","New Mexico","2,550.57","2,708.90","5,259.47","1,185.92","1,136.44","2,322.35"
"2020","New Mexico","2,743.17","2,426.21","5,169.39","1,226.56","973.26","2,199.82"
"2021","New Mexico","2,999.91","3,011.54","6,011.45","1,285.30","1,151.90","2,437.20"
"2022","New Mexico","3,180.93","3,435.90","6,616.84","1,223.34","1,224.98","2,448.32"
"2023","New Mexico","3,232.11","3,779.51","7,011.63","1,188.04","1,254.04","2,442.09"
"1997","New York","1,240.06","994.83","2,234.88","915.43","787.88","1,703.31"
"1998","New York","1,249.51","1,045.22","2,294.73","908.87","807.55","1,716.43"
"1999","New York","1,283.22","1,089.52","2,372.73","913.84","818.27","1,732.11"
"2000","New York","1,286.08","1,128.23","2,414.30","901.31","829.60","1,730.91"
"2001","New York","1,339.76","1,142.27","2,482.03","910.00","815.72","1,725.72"
"2002","New York","1,371.64","1,175.26","2,546.90","921.66","818.92","1,740.58"
"2003","New York","1,418.92","1,251.47","2,670.38","932.36","854.13","1,786.49"
"2004","New York","1,491.95","1,352.14","2,844.09","938.88","898.58","1,837.46"
"2005","New York","1,583.34","1,437.37","3,020.71","970.72","928.86","1,899.58"
"2006","New York","1,662.09","1,530.17","3,192.26","996.42","954.19","1,950.60"
"2007","New York","1,724.47","1,650.64","3,375.11","994.97","987.64","1,982.61"
"2008","New York","1,788.64","1,699.24","3,487.88","971.78","973.01","1,944.79"
"2009","New York","1,762.22","1,693.07","3,455.29","948.07","937.55","1,885.61"
"2010","New York","1,819.56","1,775.99","3,595.56","969.74","968.37","1,938.11"
"2011","New York","1,921.29","1,916.95","3,838.24","981.72","1,020.19","2,001.91"
"2012","New York","2,019.00","2,044.99","4,063.98","1,004.12","1,059.89","2,064.02"
"2013","New York","2,049.84","2,181.09","4,230.93","1,011.03","1,111.70","2,122.73"
"2014","New York","2,120.00","2,375.41","4,495.40","1,028.08","1,184.65","2,212.73"
"2015","New York","2,115.09","2,593.32","4,708.40","1,011.74","1,263.94","2,275.67"
"2016","New York","2,112.00","2,735.05","4,847.05","1,023.95","1,298.45","2,322.40"
"2017","New York","2,192.97","2,972.58","5,165.55","1,061.56","1,378.77","2,440.33"
"2018","New York","2,282.99","3,110.26","5,393.25","1,091.68","1,403.85","2,495.53"
"2019","New York","2,336.24","3,228.49","5,564.73","1,108.27","1,416.59","2,524.87"
"2020","New York","2,315.75","2,341.62","4,657.38","1,062.15","991.60","2,053.75"
"2021","New York","2,462.94","3,129.98","5,592.92","1,103.75","1,265.18","2,368.92"
"2022","New York","2,815.27","3,902.47","6,717.73","1,145.67","1,475.79","2,621.47"
"2023","New York","2,897.19","4,491.35","7,388.54","1,125.21","1,589.35","2,714.56"
"1997","North Carolina","1,599.91","1,021.05","2,620.95","1,189.89","784.04","1,973.93"
"1998","North Carolina","1,596.97","1,060.18","2,657.14","1,170.36","793.19","1,963.56"
"1999","North Carolina","1,631.37","1,107.79","2,739.16","1,176.91","809.03","1,985.94"
"2000","North Carolina","1,644.81","1,134.89","2,779.70","1,155.57","810.45","1,966.02"
"2001","North Carolina","1,698.59","1,167.86","2,866.46","1,160.19","812.20","1,972.38"
"2002","North Carolina","1,685.61","1,212.41","2,898.03","1,136.54","824.44","1,960.98"
"2003","North Carolina","1,632.72","1,271.90","2,904.62","1,077.59","844.72","1,922.31"
"2004","North Carolina","1,699.19","1,367.25","3,066.44","1,078.93","880.80","1,959.72"
"2005","North Carolina","1,766.55","1,426.43","3,192.98","1,099.34","893.07","1,992.40"
"2006","North Carolina","1,791.03","1,514.36","3,305.39","1,093.36","919.89","2,013.25"
"2007","North Carolina","1,865.66","1,594.86","3,460.51","1,093.07","936.79","2,029.86"
"2008","North Carolina","1,918.05","1,612.34","3,530.39","1,052.97","905.38","1,958.35"
"2009","North Carolina","1,830.75","1,563.61","3,394.36","997.45","847.26","1,844.71"
"2010","North Carolina","1,828.42","1,597.13","3,425.54","990.35","854.53","1,844.88"
"2011","North Carolina","1,911.66","1,676.69","3,588.34","985.02","877.58","1,862.60"
"2012","North Carolina","2,048.43","1,756.78","3,805.20","1,027.72","894.87","1,922.60"
"2013","North Carolina","2,056.87","1,853.08","3,909.95","1,019.84","922.75","1,942.59"
"2014","North Carolina","2,134.59","1,977.31","4,111.90","1,033.19","961.95","1,995.15"
"2015","North Carolina","2,162.96","2,136.80","4,299.76","1,036.23","1,008.76","2,044.99"
"2016","North Carolina","2,207.23","2,262.19","4,469.43","1,072.68","1,047.03","2,119.71"
"2017","North Carolina","2,333.17","2,401.88","4,735.04","1,136.41","1,089.74","2,226.15"
"2018","North Carolina","2,388.62","2,494.32","4,882.93","1,159.95","1,108.29","2,268.24"
"2019","North Carolina","2,468.72","2,617.55","5,086.27","1,190.65","1,128.36","2,319.01"
"2020","North Carolina","2,714.05","2,382.76","5,096.82","1,264.48","999.85","2,264.33"
"2021","North Carolina","2,926.59","2,913.83","5,840.41","1,318.22","1,177.17","2,495.39"
"2022","North Carolina","3,099.94","3,370.10","6,470.05","1,253.65","1,263.33","2,516.98"
"2023","North Carolina","3,124.67","3,610.36","6,735.03","1,199.55","1,263.51","2,463.06"
"1997","North Dakota","1,329.12","848.68","2,177.80","994.03","647.22","1,641.25"
"1998","North Dakota","1,328.18","890.64","2,218.82","975.58","662.08","1,637.66"
"1999","North Dakota","1,378.59","920.43","2,299.02","991.72","667.40","1,659.12"
"2000","North Dakota","1,401.24","971.84","2,373.08","985.23","685.29","1,670.52"
"2001","North Dakota","1,449.91","1,007.82","2,457.73","988.65","690.83","1,679.48"
"2002","North Dakota","1,481.47","1,053.49","2,534.96","1,002.45","706.93","1,709.38"
"2003","North Dakota","1,550.52","1,103.41","2,653.92","1,034.58","725.96","1,760.54"
"2004","North Dakota","1,608.98","1,170.22","2,779.21","1,043.35","747.80","1,791.15"
"2005","North Dakota","1,708.82","1,239.57","2,948.39","1,084.86","765.96","1,850.82"
"2006","North Dakota","1,805.48","1,299.96","3,105.43","1,128.18","781.96","1,910.14"
