"TABLE 3. Number of hours worked and percent relative standard errors by detailed industry, 2020 [thousands]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","","",""
"Industry1                                                                                                              ","NAICS Code2                                                                                                            ","Total hours worked","Percent relative standard errors"
"    General medical and surgical hospitals","6221","7396728.0","000.7"
"    Psychiatric and substance abuse hospitals","6222","217262.7","002.2"
"    Specialty (except psychiatric and substance abuse) hospitals","6223","369796.8","002.7"
"   Nursing and residential care facilities","623","5198702.0","000.5"
"    Nursing care facilities (skilled nursing facilities)","6231","2394311.6","000.7"
"    Residential intellectual and developmental disability, mental health, and substance abuse facilities","6232","1085544.2","001.3"
"    Continuing care retirement communities and assisted living facilities for the elderly","6233","1455053.3","001.0"
"    Other residential care facilities","6239","263792.9","003.2"
"   Social assistance","624","4701680.9","000.9"
"    Individual and family services","6241","2703778.4","001.4"
"     Child and youth services","62411","309705.3","003.0"
"     Services for the elderly and persons with disabilities","62412","1699973.8","001.9"
"     Other individual and family services","62419","694099.3","002.1"
"    Community food and housing, and emergency and other relief services","6242","300180.9","003.2"
"     Community food services","62421","58423.4","006.7"
"     Community housing services","62422","188893.0","003.7"
"     Emergency and other relief services","62423","52864.6","009.9"
"    Vocational rehabilitation services","6243","428139.0","002.3"
"    Child day care services","6244","1269582.6","001.6"
" Leisure, entertainment, and hospitality","","16987760.4","000.4"
"  Arts, entertainment, and recreation","71","2282026.7","001.5"
"   Performing arts, spectator sports, and related industries","711","498576.4","003.1"
"    Performing arts companies","7111","108563.2","005.5"
"    Spectator sports","7112","149864.3","004.6"
"     Spectator sports","71121","149864.3","004.6"
"      Sports teams and clubs","711211","91383.8","005.8"
"      Racetracks","711212","23904.3","007.5"
"      Other spectator sports","711219","34576.2","011.6"
"    Promoters of performing arts, sports, and similar events","7113","124498.2","006.1"
"    Agents and managers for artists, athletes, entertainers, and other public figures","7114","36390.2","016.0"
"   Museums, historical sites, and similar institutions","712","216894.6","002.7"
"   Amusement, gambling, and recreation industries","713","1566555.6","002.0"
"    Amusement parks and arcades","7131","173321.5","014.1"
"     Amusement and theme parks","71311","151697.9","016.0"
"    Gambling industries","7132","251589.5","002.4"
"    Other amusement and recreation industries","7139","1141644.7","001.5"
"     Golf courses and country clubs","71391","410777.8","002.5"
"     Skiing facilities","71392","35913.7","004.8"
"     Marinas","71393","51930.3","007.4"
"     Fitness and recreational sports centers","71394","411725.8","002.4"
"     All other amusement and recreation industries","71399","176169.3","005.3"
"  Accommodation and food services","72","14705733.7","000.4"
"   Accommodation","721","2407050.9","001.1"
"    Traveler accommodation","7211","2314085.0","001.2"
"     Hotels (except casino hotels) and motels","72111","1850624.7","001.3"
"     Casino hotels","72112","430993.1","002.4"
"    RV (recreational vehicle) parks and recreational camps","7212","76077.5","006.3"
"     RV (recreational vehicle) parks and recreational camps","72121","76077.5","006.3"
"      RV (recreational vehicle) parks and campgrounds","721211","37199.2","007.6"
"      Recreational and vacation camps (except campgrounds)","721214","38878.2","009.9"
"   Food services and drinking places","722","12298682.8","000.5"
"    Special food services","7223","697507.8","002.8"
"    Drinking places (alcoholic beverages)","7224","320615.9","003.7"
"    Restaurants and other eating places","7225","11280559.1","000.5"
"     Restaurants and other eating places","72251","11280559.1","000.5"
"      Full-service restaurants","722511","5163967.7","000.7"
"      Limited-service restaurants","722513","5161026.8","000.7"
"      Snack and nonalcoholic beverage bars","722515","854445.3","001.9"
" Other services (except public administration)","","6122061.1","000.9"
"  Other services (except public administration)","81","6122061.1","000.9"
"   Repair and maintenance","811","2430686.9","001.5"
"    Automotive repair and maintenance","8111","1692865.0","001.8"
"    Electronic and precision equipment repair and maintenance","8112","198463.3","004.7"
"    Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","8113","407201.5","004.0"
"    Personal and household goods repair and maintenance","8114","132157.1","007.5"
"   Personal and laundry services","812","1739652.5","001.7"
"    Personal care services","8121","693969.8","002.8"
"    Death care services","8122","191882.0","004.8"
"    Drycleaning and laundry services","8123","409879.6","003.1"
"     Drycleaning and laundry services (except coin-operated)","81232","146528.0","006.2"
"     Linen and uniform supply","81233","218698.9","003.4"
"      Linen supply","812331","108851.1","005.6"
"      Industrial launderers","812332","109847.8","003.8"
"    Other personal services","8129","443921.1","003.6"
"   Religious, grantmaking, civic, professional, and similar organizations","813","1951721.7","001.5"
"State and Local Government4","","29161826.6","001.1"
"State Government4","","7881629.5","001.6"
"Service providing","","7732432.0","001.6"
" Educational and health services","","4154965.7","002.8"
"  Educational services","61","2995951.2","003.3"
"   Educational services","611","2995951.2","003.3"
"    Colleges, universities, and professional schools","6113","2566188.3","003.8"
"  Health care and social assistance","62","1159014.5","005.2"
"   Hospitals","622","702760.6","008.3"
"   Nursing and residential care facilities","623","213377.1","002.6"
" Public administration","","3343312.6","001.5"
"  Public administration","92","3343312.6","001.5"
"   Justice, public order, and safety activities","922","1370369.6","002.2"
"    Justice, public order, and safety activities","9221","1370369.6","002.2"
"     Correctional institutions","92214","780409.7","002.0"
"Local Government4","","21280197.1","001.4"
"Goods producing4","","223292.9","002.5"
"Service providing","","21056904.1","001.4"
" Trade, transportation, and utilities","","-","-"
"  Utilities","22","440939.6","003.5"
"   Utilities","221","440939.6","003.5"
"    Water, sewage and other systems","2213","298516.7","002.8"
" Educational and health services","","12421619.0","001.8"
"  Educational services","61","10885436.3","002.0"
"   Educational services","611","10885436.3","002.0"
"    Elementary and secondary schools","6111","10187401.1","002.1"
"  Health care and social assistance","62","1536182.7","002.4"
"   Hospitals","622","1119741.8","003.0"
"   Nursing and residential care facilities","623","106655.2","004.2"
" Public administration","","6961854.2","002.5"
"  Public administration","92","6961854.2","002.5"
"","","",""
"1Totals include data for industries not shown separately.","","",""
"2North American Industry Classification System -- United States, 2017","","",""
"3Industry added in 2019.","","",""
"4Excludes farms with fewer than 11 employees.","","",""
"5Data for mining operators in this industry are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor. Independent mining ","","",""
"     contractors are excluded. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002;","","",""
"     therefore, estimates for these industries are not comparable to estimates in other industries.","","",""
"6Data for Mining (Sector 21 in the North American Industry Classification System -  United States, 2017) include establishments not governed by the Mine Safety and ","","",""
"     Health Administration rules and reporting, such as those in Oil and Gas Extraction and related support activities. Data for mining operators in coal, metal, and nonmetal mining  ","","",""
"     are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor. Independent mining contractors are excluded from the coal, metal, and nonmetal mining ","","",""
"     industries. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002; ","","",""
"     therefore, estimates for these industries are not comparable to estimates in other industries.","","",""
"7Relative standard errors were not calculated for rail transportation (NAICS 482) or for mining, except oil and gas (NAICS 212).","","",""
"8Data for employers in rail transportation are provided to BLS by the Federal Railroad Administration, U.S. Department of Transportation.","","",""
"NOTE: Because of rounding, components may not add to totals. Dash indicates data do not meet publication guidelines.","","",""
"SOURCE: U.S. Bureau of Labor Statistics, U.S. Department of Labor","","",""
