"raw clone size data used for Figure 5a,d, Extended Data Figure 11a,b from ovariectomized confetti mouse model","","","","","","","","",""
"","","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
